기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2011	합계	4,192,752.0	10,528,774.0	5,208,492.0	5,320,282.0	10,249,679.0	5,073,899.0	5,175,780.0	279,095.0	134,593.0	144,502.0	17,397.0	605.2	2.4	1,049,425.0
2011	종로구	76,688.0	177,419.0	88,107.0	89,312.0	168,382.0	83,931.0	84,451.0	9,037.0	4,176.0	4,861.0	7,421.0	23.9	2.2	22,939.0
2011	중구	61,475.0	141,567.0	71,137.0	70,430.0	133,193.0	67,065.0	66,128.0	8,374.0	4,072.0	4,302.0	14,212.0	10.0	2.2	18,099.0
2011	용산구	112,617.0	259,288.0	126,735.0	132,553.0	246,501.0	120,183.0	126,318.0	12,787.0	6,552.0	6,235.0	11,857.0	21.9	2.2	31,837.0
2011	성동구	126,148.0	308,767.0	154,511.0	154,256.0	300,711.0	150,655.0	150,056.0	8,056.0	3,856.0	4,200.0	18,325.0	16.8	2.4	32,767.0
2011	광진구	158,472.0	386,673.0	190,867.0	195,806.0	371,936.0	184,103.0	187,833.0	14,737.0	6,764.0	7,973.0	22,661.0	17.1	2.4	33,613.0
2011	동대문구	157,823.0	378,534.0	189,538.0	188,996.0	365,486.0	183,925.0	181,561.0	13,048.0	5,613.0	7,435.0	26,653.0	14.2	2.3	44,368.0
2011	중랑구	175,115.0	428,672.0	214,258.0	214,414.0	423,706.0	212,291.0	211,415.0	4,966.0	1,967.0	2,999.0	23,175.0	18.5	2.4	43,745.0
2011	성북구	199,398.0	494,422.0	243,639.0	250,783.0	485,171.0	239,726.0	245,445.0	9,251.0	3,913.0	5,338.0	20,125.0	24.6	2.4	55,213.0
2011	강북구	142,527.0	348,740.0	172,309.0	176,431.0	345,054.0	170,906.0	174,148.0	3,686.0	1,403.0	2,283.0	14,780.0	23.6	2.4	43,507.0
2011	도봉구	139,348.0	367,949.0	181,911.0	186,038.0	365,573.0	181,004.0	184,569.0	2,376.0	907.0	1,469.0	17,774.0	20.7	2.6	39,810.0
2011	노원구	225,104.0	608,062.0	297,308.0	310,754.0	603,930.0	295,551.0	308,379.0	4,132.0	1,757.0	2,375.0	17,160.0	35.4	2.7	58,642.0
2011	은평구	197,582.0	498,350.0	244,730.0	253,620.0	493,634.0	242,779.0	250,855.0	4,716.0	1,951.0	2,765.0	16,782.0	29.7	2.5	56,595.0
2011	서대문구	134,730.0	324,529.0	158,160.0	166,369.0	314,852.0	154,033.0	160,819.0	9,677.0	4,127.0	5,550.0	18,434.0	17.6	2.3	40,041.0
2011	마포구	168,640.0	398,627.0	193,539.0	205,088.0	389,493.0	189,243.0	200,250.0	9,134.0	4,296.0	4,838.0	16,720.0	23.8	2.3	42,610.0
2011	양천구	182,677.0	505,605.0	251,346.0	254,259.0	500,210.0	248,927.0	251,283.0	5,395.0	2,419.0	2,976.0	29,049.0	17.4	2.7	41,110.0
2011	강서구	223,490.0	575,846.0	283,662.0	292,184.0	569,072.0	280,274.0	288,798.0	6,774.0	3,388.0	3,386.0	13,901.0	41.4	2.6	52,314.0
2011	구로구	171,064.0	458,908.0	232,056.0	226,852.0	427,468.0	215,474.0	211,994.0	31,440.0	16,582.0	14,858.0	22,806.0	20.1	2.5	41,992.0
2011	금천구	103,600.0	264,256.0	135,604.0	128,652.0	243,438.0	124,665.0	118,773.0	20,818.0	10,939.0	9,879.0	20,326.0	13.0	2.4	25,089.0
2011	영등포구	168,850.0	439,555.0	221,913.0	217,642.0	397,443.0	199,987.0	197,456.0	42,112.0	21,926.0	20,186.0	17,892.0	24.6	2.4	43,891.0
2011	동작구	167,099.0	413,658.0	203,341.0	210,317.0	401,408.0	197,672.0	203,736.0	12,250.0	5,669.0	6,581.0	25,296.0	16.4	2.4	44,287.0
2011	관악구	246,979.0	546,350.0	276,675.0	269,675.0	526,397.0	267,145.0	259,252.0	19,953.0	9,530.0	10,423.0	18,478.0	29.6	2.1	53,022.0
2011	서초구	168,988.0	439,012.0	212,636.0	226,376.0	433,564.0	209,902.0	223,662.0	5,448.0	2,734.0	2,714.0	9,340.0	47.0	2.6	39,035.0
2011	강남구	231,983.0	573,003.0	275,906.0	297,097.0	565,710.0	271,991.0	293,719.0	7,293.0	3,915.0	3,378.0	14,501.0	39.5	2.4	47,187.0
2011	송파구	261,963.0	690,466.0	338,344.0	352,122.0	682,209.0	334,494.0	347,715.0	8,257.0	3,850.0	4,407.0	20,382.0	33.9	2.6	55,456.0
2011	강동구	190,392.0	500,516.0	250,260.0	250,256.0	495,138.0	247,973.0	247,165.0	5,378.0	2,287.0	3,091.0	20,359.0	24.6	2.6	42,256.0
2012	합계	4,177,970.0	10,442,426.0	5,159,665.0	5,282,761.0	10,195,318.0	5,041,336.0	5,153,982.0	247,108.0	118,329.0	128,779.0	17,255.2	605.2	2.4	1,110,995.0
2012	종로구	75,659.0	173,148.0	85,997.0	87,151.0	165,207.0	82,274.0	82,933.0	7,941.0	3,723.0	4,218.0	7,242.5	23.9	2.2	23,868.0
2012	중구	61,546.0	140,807.0	70,762.0	70,045.0	133,360.0	67,043.0	66,317.0	7,447.0	3,719.0	3,728.0	14,135.8	10.0	2.2	18,875.0
2012	용산구	110,706.0	255,294.0	124,708.0	130,586.0	243,232.0	118,461.0	124,771.0	12,062.0	6,247.0	5,815.0	11,673.9	21.9	2.2	33,027.0
2012	성동구	125,848.0	306,868.0	153,272.0	153,596.0	299,604.0	149,832.0	149,772.0	7,264.0	3,440.0	3,824.0	18,214.3	16.8	2.4	34,180.0
2012	광진구	158,534.0	384,269.0	189,367.0	194,902.0	371,313.0	183,528.0	187,785.0	12,956.0	5,839.0	7,117.0	22,519.9	17.1	2.3	35,759.0
2012	동대문구	157,650.0	375,683.0	187,851.0	187,832.0	363,258.0	182,661.0	180,597.0	12,425.0	5,190.0	7,235.0	26,452.9	14.2	2.3	46,795.0
2012	중랑구	174,313.0	423,655.0	211,708.0	211,947.0	419,295.0	210,043.0	209,252.0	4,360.0	1,665.0	2,695.0	22,904.0	18.5	2.4	46,476.0
2012	성북구	197,992.0	490,639.0	241,162.0	249,477.0	481,857.0	237,474.0	244,383.0	8,782.0	3,688.0	5,094.0	19,967.9	24.6	2.4	58,142.0
2012	강북구	142,150.0	346,493.0	171,099.0	175,394.0	343,157.0	169,866.0	173,291.0	3,336.0	1,233.0	2,103.0	14,683.9	23.6	2.4	46,222.0
2012	도봉구	138,036.0	364,454.0	180,023.0	184,431.0	362,270.0	179,194.0	183,076.0	2,184.0	829.0	1,355.0	17,604.6	20.7	2.6	42,267.0
2012	노원구	222,959.0	600,829.0	293,616.0	307,213.0	597,189.0	292,081.0	305,108.0	3,640.0	1,535.0	2,105.0	16,955.0	35.4	2.7	61,218.0
2012	은평구	200,502.0	505,902.0	248,150.0	257,752.0	501,480.0	246,318.0	255,162.0	4,422.0	1,832.0	2,590.0	17,034.6	29.7	2.5	60,776.0
2012	서대문구	135,104.0	324,733.0	157,969.0	166,764.0	315,113.0	154,017.0	161,096.0	9,620.0	3,952.0	5,668.0	18,443.8	17.6	2.3	42,088.0
2012	마포구	166,722.0	393,576.0	190,514.0	203,062.0	384,644.0	186,452.0	198,192.0	8,932.0	4,062.0	4,870.0	16,510.6	23.8	2.3	44,283.0
